"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
90846,90846,90528,90210,89529,86395,0.00351,"Central","Germantown","MD","Maryland","24031","Montgomery County",5334,"maryland/germantown",17.033,-77.2638,39.1743,"CDP",1
83534,83534,82671,81808,81069,71452,0.01044,"Central","Silver Spring","MD","Maryland","24031|24033","Montgomery County",10597,"maryland/silver-spring",7.883,-77.0208,39.0024,"CDP",2
69589,69589,69563,68984,69484,60178,0.00037,"Central","Gaithersburg","MD","Maryland","24031","Montgomery County",6742,"maryland/gaithersburg",10.321,-77.1951,39.1486,"City",3
67284,67284,67297,66947,67334,61542,-0.00019,"Central","Rockville","MD","Maryland","24031","Montgomery County",4959,"maryland/rockville",13.567,-77.1556,39.0837,"City",4
67226,67226,66771,66316,65092,60858,0.00681,"Central","Bethesda","MD","Maryland","24031","Montgomery County",5069,"maryland/bethesda",13.262,-77.1186,38.9873,"CDP",5
55179,55179,54721,54262,53869,48759,0.00837,"Central","Aspen Hill","MD","Maryland","24031","Montgomery County",5805,"maryland/aspen-hill",9.505,-77.082,39.0936,"CDP",6
53524,53524,53149,52775,51191,48284,0.00706,"Central","Wheaton","MD","Maryland","24031","Montgomery County",7759,"maryland/wheaton",6.898,-77.0582,39.0495,"CDP",7
50752,50752,50258,49763,49719,43828,0.00983,"Central","North Bethesda","MD","Maryland","24031","Montgomery County",5715,"maryland/north-bethesda",8.88,-77.1203,39.0368,"CDP",8
46755,46755,46627,46499,46256,44965,0.00275,"Central","Potomac","MD","Maryland","24031","Montgomery County",1858,"maryland/potomac",25.165,-77.1936,39.0133,"CDP",9
36307,36307,36108,35908,34230,33513,0.00551,"Central","Chillum","MD","Maryland","24033|24031","Prince George's County",10754,"maryland/chillum",3.376,-76.9789,38.9667,"CDP",10
35802,35802,35662,35522,35350,33844,0.00393,"Central","Olney","MD","Maryland","24031|24027","Montgomery County",2212,"maryland/olney",16.182,-77.0714,39.1443,"CDP",11
35201,35201,34974,34748,34413,32032,0.00649,"Central","Montgomery Village","MD","Maryland","24031","Montgomery County",9068,"maryland/montgomery-village",3.882,-77.2051,39.1885,"CDP",12
30766,30766,29551,28337,26234,13766,0.04112,"Central","Clarksburg","MD","Maryland","24031|24021","Montgomery County",3189,"maryland/clarksburg",9.649,-77.2661,39.2229,"CDP",13
30328,30328,30342,30357,30550,30531,-0.00046,"Central","Eldersburg","MD","Maryland","24013|24005|24027|24031","Carroll County",762,"maryland/eldersburg",39.814,-76.9526,39.4042,"CDP",14
29205,29205,29400,29353,29983,24994,-0.00663,"Central","Laurel","MD","Maryland","24031|24033","Montgomery County",6070,"maryland/laurel",4.811,-76.8612,39.0951,"City",15
28813,28813,28620,28427,27593,26112,0.00674,"Central","South Laurel","MD","Maryland","24031|24033","Montgomery County",3569,"maryland/south-laurel",8.072,-76.8462,39.0615,"CDP",16
26371,26371,26179,25987,25649,23681,0.00733,"Central","Fairland","MD","Maryland","24031|24033","Montgomery County",5311,"maryland/fairland",4.965,-76.9525,39.0808,"CDP",17
24739,24739,24716,24692,24146,24410,0.00093,"Central","North Potomac","MD","Maryland","24031","Montgomery County",3794,"maryland/north-potomac",6.521,-77.2385,39.0968,"CDP",18
22282,22282,22030,21778,19391,18755,0.01144,"Central","Langley Park","MD","Maryland","24033|24031","Prince George's County",22416,"maryland/langley-park",0.994,-76.9807,38.9895,"CDP",19
